datetime,Sequence,frequency11,humidity1,state1,temperature1,timestamp
47:18.2,437.00,5951.81,0,3,0,1.6564E+12
47:19.2,438.00,5951.81,0,3,0,1.6564E+12
47:20.2,439.00,5928.1,0,3,0,1.6564E+12
47:21.2,440.00,5951.81,0,3,0,1.6564E+12
47:22.2,441.00,5952.24,0,3,0,1.6564E+12
47:23.2,442.00,5928.1,0,3,0,1.6564E+12
47:24.2,443.00,5952.24,0,3,0,1.6564E+12
47:25.2,444.00,5928.53,0,3,0,1.6564E+12
47:26.2,445.00,5946.29,0,3,0,1.6564E+12
47:27.2,446.00,5951.81,0,3,0,1.6564E+12
47:28.2,447.00,5920.1,0,3,0,1.6564E+12
47:29.2,448.00,5928.1,0,3,0,1.6564E+12
47:30.2,449.00,5960.33,0,3,0,1.6564E+12
47:31.2,450.00,5951.81,0,3,0,1.6564E+12
47:32.2,451.00,5928.53,0,3,0,1.6564E+12
47:33.2,452.00,5920.1,0,3,0,1.6564E+12
47:34.2,453.00,5952.24,0,3,0,1.6564E+12
47:35.2,454.00,5960.33,0,3,0,1.6564E+12
47:36.2,455.00,5946.29,0,3,0,1.6564E+12
47:37.2,456.00,5951.81,0,3,0,1.6564E+12
47:38.2,457.00,5926,0,3,0,1.6564E+12
47:39.2,458.00,5951.81,0,3,0,1.6564E+12
47:40.2,459.00,5960.33,0,3,0,1.6564E+12
47:41.2,460.00,5928.1,0,3,0,1.6564E+12
47:42.2,461.00,5951.81,0,3,0,1.6564E+12
47:43.2,462.00,5952.24,0,3,0,1.6564E+12
47:44.2,463.00,5960.33,0,3,0,1.6564E+12
47:45.2,464.00,5960.33,0,3,0,1.6564E+12
47:46.2,465.00,5946.29,0,3,0,1.6564E+12
47:47.2,466.00,5928.1,0,3,0,1.6564E+12
47:48.2,467.00,5952.24,0,3,0,1.6564E+12
47:49.2,468.00,5951.81,0,3,0,1.6564E+12
47:50.2,469.00,5960.33,0,3,0,1.6564E+12
47:51.2,470.00,5951.81,0,3,0,1.6564E+12
47:52.3,471.00,5984.3,0,3,0,1.6564E+12
47:53.3,472.00,5960.33,0,3,0,1.6564E+12
47:54.3,473.00,5952.24,0,3,0,1.6564E+12
47:55.3,474.00,5960.33,0,3,0,1.6564E+12
47:56.3,475.00,5946.29,0,3,0,1.6564E+12
47:57.3,476.00,5984.3,0,3,0,1.6564E+12
47:58.3,477.00,5951.81,0,3,0,1.6564E+12
